record_id,product_listing,sku,selling_price_gbp,units_sold,revenue_generated_gbp,reporting_period_start,reporting_period_end,reporting_period,platform,shop_name,currency,data_source,latest_update_timestamp
LT-SS-001-SHOPIFY-2026-02-21,Satin Scrunchie Set,LT-SS-001,14.99,18,269.82,2026-02-15,2026-02-21,2026-02-15 to 2026-02-21,Shopify,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-SS-001-ETSY-2026-02-21,Satin Scrunchie Set,LT-SS-001,14.99,22,329.78,2026-02-15,2026-02-21,2026-02-15 to 2026-02-21,Etsy,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-SS-001-INSTAGRAMSHOP-2026-02-21,Satin Scrunchie Set,LT-SS-001,14.99,12,179.88,2026-02-15,2026-02-21,2026-02-15 to 2026-02-21,Instagram Shop,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-SS-001-SHOPIFY-2026-02-28,Satin Scrunchie Set,LT-SS-001,14.99,20,299.80,2026-02-22,2026-02-28,2026-02-22 to 2026-02-28,Shopify,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-SS-001-ETSY-2026-02-28,Satin Scrunchie Set,LT-SS-001,14.99,24,359.76,2026-02-22,2026-02-28,2026-02-22 to 2026-02-28,Etsy,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-SS-001-INSTAGRAMSHOP-2026-02-28,Satin Scrunchie Set,LT-SS-001,14.99,14,209.86,2026-02-22,2026-02-28,2026-02-22 to 2026-02-28,Instagram Shop,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-SS-001-SHOPIFY-2026-03-07,Satin Scrunchie Set,LT-SS-001,14.99,22,329.78,2026-03-01,2026-03-07,2026-03-01 to 2026-03-07,Shopify,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-SS-001-ETSY-2026-03-07,Satin Scrunchie Set,LT-SS-001,14.99,27,404.73,2026-03-01,2026-03-07,2026-03-01 to 2026-03-07,Etsy,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-SS-001-INSTAGRAMSHOP-2026-03-07,Satin Scrunchie Set,LT-SS-001,14.99,16,239.84,2026-03-01,2026-03-07,2026-03-01 to 2026-03-07,Instagram Shop,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-TB-002-SHOPIFY-2026-02-21,Linen Everyday Tote Bag,LT-TB-002,24.99,8,199.92,2026-02-15,2026-02-21,2026-02-15 to 2026-02-21,Shopify,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-TB-002-ETSY-2026-02-21,Linen Everyday Tote Bag,LT-TB-002,24.99,10,249.90,2026-02-15,2026-02-21,2026-02-15 to 2026-02-21,Etsy,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-TB-002-SHOPIFY-2026-02-28,Linen Everyday Tote Bag,LT-TB-002,24.99,9,224.91,2026-02-22,2026-02-28,2026-02-22 to 2026-02-28,Shopify,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-TB-002-ETSY-2026-02-28,Linen Everyday Tote Bag,LT-TB-002,24.99,11,274.89,2026-02-22,2026-02-28,2026-02-22 to 2026-02-28,Etsy,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-TB-002-SHOPIFY-2026-03-07,Linen Everyday Tote Bag,LT-TB-002,24.99,10,249.90,2026-03-01,2026-03-07,2026-03-01 to 2026-03-07,Shopify,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-TB-002-ETSY-2026-03-07,Linen Everyday Tote Bag,LT-TB-002,24.99,12,299.88,2026-03-01,2026-03-07,2026-03-01 to 2026-03-07,Etsy,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-CP-003-SHOPIFY-2026-02-21,Embroidered Cosmetic Pouch,LT-CP-003,18.50,9,166.50,2026-02-15,2026-02-21,2026-02-15 to 2026-02-21,Shopify,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
